"Date","Price","Open","High","Low","Vol.","Change %"
"27/05/2022","33,212.96","32,735.09","33,213.62","32,682.01","331.19M","1.76%"
"31/05/2022","32,990.12","33,160.59","33,240.22","32,752.34","549.81M","-0.67%"
"01/06/2022","32,813.23","33,156.31","33,272.34","32,584.76","338.21M","-0.54%"
"02/06/2022","33,248.28","32,809.01","33,248.61","32,509.43","331.19M","1.33%"
"03/06/2022","32,899.70","32,986.32","33,135.61","32,839.21","298.57M","-1.05%"
"06/06/2022","32,915.78","33,032.04","33,235.37","32,819.50","258.40M","0.05%"
"07/06/2022","33,180.14","32,783.03","33,207.45","32,641.85","278.20M","0.80%"
"08/06/2022","32,910.90","33,087.07","33,156.50","32,824.37","273.29M","-0.81%"
"09/06/2022","32,272.79","32,828.62","32,956.73","32,267.78","289.71M","-1.94%"
"10/06/2022","31,392.79","32,053.52","32,053.52","31,387.84","364.81M","-2.73%"
"13/06/2022","30,516.74","31,144.91","31,144.91","30,373.72","480.50M","-2.79%"
"14/06/2022","30,364.83","30,592.34","30,690.80","30,144.23","368.80M","-0.50%"
"15/06/2022","30,668.53","30,570.50","31,011.97","30,185.08","394.57M","1.00%"
"16/06/2022","29,927.07","30,305.74","30,305.74","29,740.35","444.89M","-2.42%"
"17/06/2022","29,888.78","29,912.70","30,167.52","29,653.29","692.83M","-0.13%"
"21/06/2022","30,530.25","30,074.69","30,653.98","30,074.69","379.35M","2.15%"
"22/06/2022","30,483.13","30,352.57","30,777.92","30,166.01","345.82M","-0.15%"
"23/06/2022","30,677.36","30,570.33","30,715.63","30,293.40","362.91M","0.64%"
"24/06/2022","31,500.68","30,846.94","31,517.29","30,846.94","470.38M","2.68%"
"27/06/2022","31,438.26","31,533.60","31,598.59","31,351.37","313.93M","-0.20%"
"28/06/2022","30,946.99","31,549.05","31,885.09","30,934.33","353.77M","-1.56%"
"29/06/2022","31,029.31","31,067.41","31,152.96","30,894.53","273.97M","0.27%"
"30/06/2022","30,775.43","30,790.00","30,979.85","30,431.87","397.27M","-0.82%"
"01/07/2022","31,097.26","30,737.77","31,139.35","30,487.79","313.35M","1.05%"
"05/07/2022","30,967.82","30,903.12","30,971.74","30,355.12","328.20M","-0.42%"
"06/07/2022","31,037.68","30,957.30","31,224.69","30,794.84","292.71M","0.23%"
"07/07/2022","31,384.55","31,190.65","31,421.84","31,154.64","296.62M","1.12%"
"08/07/2022","31,338.15","31,348.43","31,511.46","31,212.45","241.13M","-0.15%"
"11/07/2022","31,173.84","31,277.98","31,367.55","31,114.40","249.43M","-0.52%"
"12/07/2022","30,981.33","31,113.31","31,346.10","30,860.51","325.91M","-0.62%"
"13/07/2022","30,772.79","30,743.63","30,979.17","30,514.61","293.83M","-0.67%"
"14/07/2022","30,630.17","30,451.80","30,680.12","30,143.93","327.45M","-0.46%"
"15/07/2022","31,288.26","30,775.37","31,288.26","30,775.37","337.39M","2.15%"
