"Date","Price","Open","High","Low","Vol.","Change %"
"27/05/2022","181.09","179.76","181.16","178.23","5.85M","0.91%"
"31/05/2022","179.53","178.00","180.17","175.01","16.39M","-0.86%"
"01/06/2022","177.71","179.15","179.83","175.90","5.18M","-1.01%"
"02/06/2022","177.15","177.74","177.81","174.59","8.67M","-0.32%"
"03/06/2022","176.42","177.07","178.67","176.15","4.23M","-0.41%"
"06/06/2022","176.40","177.21","178.50","175.99","5.39M","-0.01%"
"07/06/2022","178.34","176.98","179.30","176.40","5.45M","1.10%"
"08/06/2022","177.28","178.10","179.45","176.80","4.33M","-0.59%"
"09/06/2022","173.71","177.21","178.65","173.64","5.51M","-2.01%"
"10/06/2022","172.55","172.17","173.97","170.62","6.65M","-0.67%"
"13/06/2022","170.81","170.08","172.25","170.08","8.00M","-1.01%"
"14/06/2022","168.19","171.06","171.11","167.26","7.12M","-1.53%"
"15/06/2022","169.99","169.64","171.44","168.64","7.80M","1.07%"
"16/06/2022","170.08","168.40","170.21","167.41","7.06M","0.05%"
"17/06/2022","169.46","170.63","172.20","169.24","12.49M","-0.36%"
"21/06/2022","173.01","170.75","173.86","169.56","8.22M","2.09%"
"22/06/2022","175.74","172.00","177.92","171.69","10.59M","1.58%"
"23/06/2022","179.66","177.00","179.82","176.52","10.22M","2.23%"
"24/06/2022","182.29","180.78","182.53","179.98","9.37M","1.46%"
"27/06/2022","182.12","181.64","183.35","181.50","5.91M","-0.09%"
"28/06/2022","176.94","182.17","182.97","176.31","9.28M","-2.84%"
"29/06/2022","176.99","177.22","178.30","176.43","7.10M","0.03%"
"30/06/2022","177.51","176.86","178.29","175.03","10.78M","0.29%"
"01/07/2022","179.52","177.45","179.72","176.69","5.50M","1.13%"
"05/07/2022","178.14","178.83","179.13","174.61","5.68M","-0.77%"
"06/07/2022","178.30","178.07","179.44","177.41","5.34M","0.09%"
"07/07/2022","178.50","177.86","179.12","177.51","5.73M","0.11%"
"08/07/2022","178.28","178.33","179.99","177.77","3.83M","-0.12%"
"11/07/2022","178.35","177.70","179.02","177.52","3.65M","0.04%"
"12/07/2022","175.85","177.98","178.45","175.20","4.71M","-1.40%"
"13/07/2022","175.44","175.66","176.33","174.50","5.29M","-0.23%"
"14/07/2022","175.68","172.53","176.01","172.30","5.36M","0.14%"
"15/07/2022","178.23","177.71","178.51","176.55","5.69M","1.45%"
"18/07/2022","174.23","177.74","178.19","173.91","7.61M","-2.24%"
"19/07/2022","171.69","176.33","176.75","169.88","13.26M","-1.46%"
"20/07/2022","170.71","172.20","172.55","169.76","7.46M","-0.57%"
"21/07/2022","171.31","170.05","171.39","169.77","5.73M","0.35%"
"22/07/2022","172.12","171.60","172.49","171.06","4.26M","0.47%"
"25/07/2022","172.46","172.12","172.98","171.72","4.44M","0.20%"
"26/07/2022","173.68","172.56","174.98","172.49","4.53M","0.71%"
"27/07/2022","173.20","172.63","174.10","171.13","4.65M","-0.28%"
"28/07/2022","174.20","173.40","176.09","171.44","5.51M","0.58%"
"29/07/2022","174.52","173.79","174.85","172.91","6.45M","0.18%"
"01/08/2022","173.91","174.17","175.15","173.54","5.46M","-0.35%"
"02/08/2022","172.92","175.01","175.49","172.70","5.79M","-0.57%"
"03/08/2022","174.59","172.55","175.26","171.77","5.01M","0.97%"
"04/08/2022","171.79","174.81","175.09","171.60","5.65M","-1.60%"
"05/08/2022","171.11","171.30","171.53","169.79","5.24M","-0.40%"
"08/08/2022","170.20","171.30","171.48","169.44","4.63M","-0.53%"
"09/08/2022","170.18","170.54","171.12","169.73","5.53M","-0.01%"
"10/08/2022","170.67","171.02","171.24","169.53","5.60M","0.29%"
"11/08/2022","167.14","168.52","169.95","166.98","9.33M","-2.07%"
"12/08/2022","165.30","167.54","167.94","165.15","14.61M","-1.10%"
"15/08/2022","166.09","166.00","166.75","165.13","10.07M","0.48%"
"16/08/2022","167.57","165.86","168.25","165.60","7.45M","0.89%"
"17/08/2022","167.58","166.41","168.56","166.41","7.41M","0.01%"
"18/08/2022","166.77","167.68","168.30","165.93","8.31M","-0.48%"
"19/08/2022","169.31","167.10","170.12","167.00","8.13M","1.52%"
"22/08/2022","167.59","168.90","168.92","167.17","5.46M","-1.02%"
"23/08/2022","166.13","167.00","167.77","165.80","5.57M","-0.87%"
"24/08/2022","165.58","166.56","166.59","165.07","5.68M","-0.33%"
"25/08/2022","167.13","165.95","167.24","164.70","5.68M","0.94%"
"26/08/2022","164.27","167.46","167.50","164.20","5.67M","-1.71%"
"29/08/2022","163.00","163.47","163.84","162.02","5.26M","-0.77%"
"30/08/2022","162.43","163.30","163.54","162.03","6.97M","-0.35%"
"31/08/2022","161.34","163.23","163.55","161.27","8.74M","-0.67%"
"01/09/2022","165.34","161.49","165.50","161.48","7.51M","2.48%"
"02/09/2022","162.74","165.86","166.20","162.01","5.80M","-1.57%"
"06/09/2022","163.18","163.94","166.21","162.82","7.39M","0.27%"
"07/09/2022","164.07","162.91","164.42","162.16","4.55M","0.55%"
"08/09/2022","165.39","163.88","165.42","163.08","5.84M","0.80%"
"09/09/2022","165.71","164.99","166.20","164.39","5.50M","0.19%"
"12/09/2022","165.64","166.11","166.57","165.22","6.37M","-0.04%"
"13/09/2022","161.33","163.57","164.44","160.81","6.73M","-2.60%"
"14/09/2022","164.66","162.38","165.36","162.38","9.56M","2.06%"
"15/09/2022","165.08","164.45","166.07","164.10","7.17M","0.26%"
"16/09/2022","167.60","165.32","167.63","164.75","20.20M","1.53%"
"19/09/2022","166.28","166.30","166.43","164.08","7.38M","-0.79%"
"20/09/2022","164.97","165.22","165.90","164.32","7.14M","-0.79%"
"21/09/2022","163.28","165.02","166.79","163.24","8.07M","-1.02%"
"22/09/2022","166.18","163.15","167.16","162.83","7.40M","1.78%"
"23/09/2022","166.72","165.74","167.48","164.66","9.60M","0.32%"
"26/09/2022","165.70","165.80","166.84","164.38","8.74M","-0.61%"
"27/09/2022","164.94","166.36","167.67","164.40","8.69M","-0.46%"
"28/09/2022","166.36","166.24","167.38","165.10","8.66M","0.86%"
"29/09/2022","164.53","166.48","167.17","163.89","7.01M","-1.10%"
"30/09/2022","163.36","165.00","165.74","163.32","8.99M","-0.71%"
"03/10/2022","163.20","164.29","164.38","161.70","8.66M","-0.10%"
"04/10/2022","165.62","163.85","166.00","162.92","6.24M","1.48%"
"05/10/2022","165.11","165.02","166.04","164.21","4.54M","-0.31%"
